"primary_type","community_area","count"
"THEFT","73","14232"
"BATTERY","76","4114"
"ASSAULT","39","2765"
"MOTOR VEHICLE THEFT","7","4213"
"ASSAULT","32","7385"
"BATTERY","1831","42"
"DECEPTIVE PRACTICE","24","9147"
"MOTOR VEHICLE THEFT","59","1630"
"DECEPTIVE PRACTICE","33","3772"
"BATTERY","1812","6"
"CRIMINAL TRESPASS","28","10126"
"CRIMINAL TRESPASS","27","2462"
"BURGLARY","70","5227"
"ROBBERY","15","2098"
"ROBBERY","31","1991"
"DECEPTIVE PRACTICE","70","3448"
"THEFT","14","13046"
"BURGLARY","68","10590"
"HOMICIDE","2","66"
"OTHER OFFENSE","33","3132"
"ROBBERY","33","1340"
"NARCOTICS","65","1704"
"OTHER OFFENSE","59","1638"
"ASSAULT","18","982"
"ASSAULT","0634","8"
"KIDNAPPING","15","94"
"WEAPONS VIOLATION","73","1391"
"BATTERY","1911","7"
"NARCOTICS","4","1509"
"BATTERY","0223","24"
"CRIMINAL SEXUAL ASSAULT","33","57"
"ARSON","19","389"
"BATTERY","2422","34"
"STALKING","77","48"
"HOMICIDE","30","336"
"ASSAULT","1123","4"
"INTIMIDATION","40","30"
"HOMICIDE","33","48"
"BATTERY","2423","11"
"CONCEALED CARRY LICENSE VIOLATION","46","11"
"BATTERY","0532","26"
"STALKING","58","46"
"BATTERY","0731","24"
"BATTERY","0434","25"
"BATTERY","1434","7"
"HUMAN TRAFFICKING","27","1"
"ASSAULT","1831","4"
"INTIMIDATION","62","10"
"PUBLIC PEACE VIOLATION","73","354"
"OBSCENITY","65","9"
"CONCEALED CARRY LICENSE VIOLATION","62","1"
"LIQUOR LAW VIOLATION","56","95"
"STALKING","63","36"
"ARSON","5","53"
"ASSAULT","0533","3"
"ASSAULT","015","1517"
"BATTERY","003","3016"
"ASSAULT","010","1489"
"GAMBLING","28","219"
"GAMBLING","75","59"
"LIQUOR LAW VIOLATION","009","22"
"PUBLIC PEACE VIOLATION","009","382"
"CRIM SEXUAL ASSAULT","37","84"
"ROBBERY","022","166"
"CRIM SEXUAL ASSAULT","44","576"
"NARCOTICS","016","514"
"GAMBLING","015","15"
"CRIM SEXUAL ASSAULT","20","170"
"BURGLARY","006","147"
"PROSTITUTION","59","32"
"RITUALISM","025","2"
"ROBBERY","024","45"
"CRIM SEXUAL ASSAULT","018","19"
"KIDNAPPING","9","17"
"INTIMIDATION","36","10"
"GAMBLING","20","10"
"OBSCENITY","17","8"
"STALKING","007","10"
"HUMAN TRAFFICKING","51","2"
"CRIM SEXUAL ASSAULT","006","29"
"PUBLIC INDECENCY","26","2"
"OBSCENITY","016","4"
"STALKING","019","2"
"CRIMINAL SEXUAL ASSAULT","014","1"
"BATTERY","3","17313"
"THEFT","32","88016"
"BATTERY","69","38253"
"WEAPONS VIOLATION","43","3274"
"ASSAULT","14","3442"
"DECEPTIVE PRACTICE","7","8161"
"ASSAULT","67","15065"
"MOTOR VEHICLE THEFT","77","2448"
"ASSAULT","3","6490"
"STALKING","16","60"
"BATTERY","8","31711"
"ASSAULT","8","9666"
"OTHER OFFENSE","45","2515"
"WEAPONS VIOLATION","42","1906"
"OTHER OFFENSE","62","1670"
"PUBLIC PEACE VIOLATION","6","914"
"CONCEALED CARRY LICENSE VIOLATION","76","225"
"HOMICIDE","66","355"
"BATTERY","0122","22"
"WEAPONS VIOLATION","53","2922"
"CRIMINAL TRESPASS","43","5562"
"BATTERY","65","6500"
"MOTOR VEHICLE THEFT","61","6002"
"DECEPTIVE PRACTICE","4","3383"
"ASSAULT","2534","5"
"MOTOR VEHICLE THEFT","42","3805"
"OFFENSE INVOLVING CHILDREN","30","1320"
"BATTERY","0611","17"
"SEX OFFENSE","57","135"
"BATTERY","0624","35"
"ASSAULT","1011","6"
"CRIMINAL DAMAGE","41","4614"
"BATTERY","1712","20"
"WEAPONS VIOLATION","1","937"
"SEX OFFENSE","62","148"
"CRIMINAL DAMAGE","36","1984"
"INTIMIDATION","2","52"
"SEX OFFENSE","11","143"
"BATTERY","0824","10"
"ASSAULT","0424","6"
"ROBBERY","20","1422"
"ROBBERY","74","217"
"GAMBLING","25","2411"
"INTERFERENCE WITH PUBLIC OFFICER","37","116"
"OFFENSE INVOLVING CHILDREN","72","283"
"ASSAULT","2211","1"
"BATTERY","0932","22"
"BATTERY","1511","21"
"BATTERY","0112","28"
"LIQUOR LAW VIOLATION","21","181"
"WEAPONS VIOLATION","12","38"
"ASSAULT","2024","4"
"LIQUOR LAW VIOLATION","31","372"
"ASSAULT","1221","3"
"ARSON","65","118"
"CONCEALED CARRY LICENSE VIOLATION","8","26"
"STALKING","61","60"
"ASSAULT","1022","9"
"INTERFERENCE WITH PUBLIC OFFICER","30","250"
"DECEPTIVE PRACTICE","022","101"
"ASSAULT","1712","1"
"OBSCENITY","20","6"
"LIQUOR LAW VIOLATION","3","234"
"LIQUOR LAW VIOLATION","10","46"
"KIDNAPPING","70","84"
"THEFT","017","1294"
"OFFENSE INVOLVING CHILDREN","009","58"
"GAMBLING","54","44"
"ARSON","025","16"
"WEAPONS VIOLATION","017","198"
"OTHER OFFENSE","006","216"
"BURGLARY","002","275"
"CRIM SEXUAL ASSAULT","010","26"
"CRIM SEXUAL ASSAULT","36","63"
"PUBLIC PEACE VIOLATION","45","143"
"INTIMIDATION","44","65"
"LIQUOR LAW VIOLATION","62","47"
"GAMBLING","56","35"
"INTERFERENCE WITH PUBLIC OFFICER","70","69"
"INTERFERENCE WITH PUBLIC OFFICER","62","33"
"NON-CRIMINAL","42","2"
"STALKING","018","4"
"PUBLIC INDECENCY","43","3"
"KIDNAPPING","004","15"
"INTERFERENCE WITH PUBLIC OFFICER","025","5"
"OBSCENITY","27","11"
"OBSCENITY","48","5"
"NON-CRIMINAL","16","1"
"NON-CRIMINAL (SUBJECT SPECIFIED)","37","1"
"RITUALISM","1123","1"
"BATTERY","66","33529"
"BATTERY","33","7539"
"THEFT","67","26891"
"CRIMINAL DAMAGE","66","21193"
"WEAPONS VIOLATION","49","3928"
"WEAPONS VIOLATION","67","5030"
"CRIMINAL DAMAGE","49","22899"
"OTHER OFFENSE","66","11168"
"ASSAULT","68","14070"
"ROBBERY","69","8911"
"ROBBERY","71","9021"
"CRIMINAL DAMAGE","27","11221"
"OTHER OFFENSE","31","3951"
"CRIMINAL TRESPASS","32","7757"
"OFFENSE INVOLVING CHILDREN","61","1286"
"MOTOR VEHICLE THEFT","56","2471"
"DECEPTIVE PRACTICE","11","2254"
"SEX OFFENSE","42","395"
"LIQUOR LAW VIOLATION","42","87"
"CRIMINAL SEXUAL ASSAULT","58","60"
"CRIMINAL DAMAGE","9","1276"
"PUBLIC PEACE VIOLATION","28","1114"
"PUBLIC PEACE VIOLATION","12","50"
"BATTERY","2531","13"
"BATTERY","1023","45"
"OTHER OFFENSE","57","1316"
"ARSON","73","126"
"OFFENSE INVOLVING CHILDREN","35","371"
"WEAPONS VIOLATION","13","100"
"BATTERY","0321","43"
"BATTERY","0834","13"
"ROBBERY","65","1712"
"SEX OFFENSE","33","162"
"CONCEALED CARRY LICENSE VIOLATION","66","8"
"STALKING","27","88"
"ROBBERY","50","786"
"PUBLIC PEACE VIOLATION","4","366"
"ARSON","38","95"
"WEAPONS VIOLATION","76","266"
"BATTERY","1224","11"
"BATTERY","1113","34"
"INTIMIDATION","1","60"
"CRIMINAL SEXUAL ASSAULT","60","35"
"STALKING","13","16"
"BATTERY","1114","22"
"BATTERY","0711","19"
"NARCOTICS","55","795"
"SEX OFFENSE","74","75"
"INTIMIDATION","75","43"
"LIQUOR LAW VIOLATION","74","81"
"OBSCENITY","55","4"
"STALKING","57","12"
"INTIMIDATION","51","35"
"ASSAULT","0935","3"
"ASSAULT","1134","5"
"PROSTITUTION","23","3103"
"ASSAULT","0933","5"
"INTIMIDATION","55","18"
"BATTERY","1655","4"
"ASSAULT","1933","2"
"BATTERY","008","4634"
"OFFENSE INVOLVING CHILDREN","006","113"
"HOMICIDE","35","96"
"HOMICIDE","11","15"
"LIQUOR LAW VIOLATION","008","12"
"GAMBLING","009","1"
"SEX OFFENSE","008","137"
"WEAPONS VIOLATION","025","323"
"CRIM SEXUAL ASSAULT","7","297"
"KIDNAPPING","025","22"
"BURGLARY","014","44"
"DECEPTIVE PRACTICE","006","70"
"OFFENSE INVOLVING CHILDREN","005","108"
"LIQUOR LAW VIOLATION","18","20"
"SEX OFFENSE","005","86"
"GAMBLING","011","15"
"OTHER NARCOTIC VIOLATION","012","2"
"OBSCENITY","024","6"
"OTHER NARCOTIC VIOLATION","24","9"
"KIDNAPPING","48","46"
"ARSON","015","6"
"RITUALISM","51","1"
"OBSCENITY","36","3"
"PUBLIC INDECENCY","007","1"
"INTIMIDATION","024","2"
"CONCEALED CARRY LICENSE VIOLATION","57","1"
"ASSAULT","0434","1"
"BATTERY","71","41119"
"BATTERY","40","17580"
"ROBBERY","25","19037"
"MOTOR VEHICLE THEFT","12","470"
"MOTOR VEHICLE THEFT","3","3229"
"INTERFERENCE WITH PUBLIC OFFICER","27","500"
"CRIMINAL DAMAGE","18","2649"
"WEAPONS VIOLATION","59","342"
"BATTERY","38","20047"
"BATTERY","0331","33"
"BATTERY","0323","24"
"DECEPTIVE PRACTICE","48","1833"
"SEX OFFENSE","10","158"
"OTHER OFFENSE","18","1466"
"INTIMIDATION","28","147"
"DECEPTIVE PRACTICE","34","1959"
"CRIMINAL SEXUAL ASSAULT","28","195"
"OTHER OFFENSE","55","1355"
"INTERFERENCE WITH PUBLIC OFFICER","26","659"
"OFFENSE INVOLVING CHILDREN","1","740"
"ASSAULT","60","3130"
"KIDNAPPING","68","149"
"STALKING","8","167"
"BATTERY","2515","25"
"BURGLARY","12","1428"
"BATTERY","1222","17"
"OTHER OFFENSE","51","3465"
"PROSTITUTION","8","3917"
"INTIMIDATION","66","75"
"OFFENSE INVOLVING CHILDREN","54","343"
"PUBLIC PEACE VIOLATION","22","837"
"NARCOTICS","45","1600"
"SEX OFFENSE","68","584"
"OBSCENITY","74","6"
"ARSON","10","51"
"OFFENSE INVOLVING CHILDREN","42","1063"
"OFFENSE INVOLVING CHILDREN","75","670"
"PUBLIC PEACE VIOLATION","24","935"
"ARSON","27","179"
"STALKING","53","71"
"STALKING","48","33"
"HOMICIDE","29","530"
"BATTERY","0234","26"
"CRIMINAL SEXUAL ASSAULT","18","14"
"SEX OFFENSE","75","155"
"ASSAULT","1222","2"
"BATTERY","0232","19"
"BATTERY","1723","16"
"CRIMINAL TRESPASS","57","284"
"LIQUOR LAW VIOLATION","40","66"
"INTERFERENCE WITH PUBLIC OFFICER","10","27"
"KIDNAPPING","42","115"
"ROBBERY","018","57"
"INTIMIDATION","21","29"
"KIDNAPPING","39","30"
"SEX OFFENSE","018","58"
"BATTERY","1524","16"
"INTERFERENCE WITH PUBLIC OFFICER","34","48"
"ARSON","34","42"
"ASSAULT","2232","6"
"ASSAULT","0832","3"
"CRIM SEXUAL ASSAULT","67","877"
"NARCOTICS","025","798"
"CRIMINAL TRESPASS","0","3"
"CRIM SEXUAL ASSAULT","23","737"
"PROSTITUTION","14","576"
"GAMBLING","","1107"
"NARCOTICS","022","755"
"ASSAULT","022","1863"
"PUBLIC PEACE VIOLATION","012","483"
"GAMBLING","23","926"
"CRIMINAL TRESPASS","002","536"
"GAMBLING","005","12"
"CRIM SEXUAL ASSAULT","45","157"
"DECEPTIVE PRACTICE","017","68"
"GAMBLING","14","63"
"ROBBERY","001","35"
"STALKING","003","4"
"STALKING","34","17"
"NON - CRIMINAL","50","2"
"INTERFERENCE WITH PUBLIC OFFICER","003","8"
"PUBLIC INDECENCY","019","1"
"NON-CRIMINAL","37","1"
"CONCEALED CARRY LICENSE VIOLATION","65","2"
"OTHER NARCOTIC VIOLATION","16","2"
